2022-05-16 19:21:45+00:00,b'@POTUS @POTUS @JoeBiden I urge you to strongly urge lawmakers to give this mass-murdering #terrorist the\xe2\x80\xa6 https://t.co/NWTdLdvvW7',b'HighTechWriter',"b'San Jose, CA'"
2022-05-16 17:50:59+00:00,"b'For all the talk the #BidenAdministration does about being #Racial fair, they plan on going to #Buffalo when they a\xe2\x80\xa6 https://t.co/kewLzh5AND'",b'OUKnowWho',b'Florida'
2022-05-16 16:33:48+00:00,b'I published When Racial Terrorism Is Taken Seriously In The United States https://t.co/qtySCHT7Pq\xe2\x80\xa6 https://t.co/6OdOdxU3aF',b'UniverSouLove',"b'Rockford, IL'"
2022-05-16 16:05:05+00:00,"b""What does equity look like, in the context of the #racial #wealthgap?\n\nThe https://t.co/g8zGHtVR08's answer: The we\xe2\x80\xa6 https://t.co/U7ShqmFmIr""",b'wellclinicsf',b'San Francisco CA'
2022-05-16 15:48:11+00:00,b'If @POTUS @JoeBiden goes to #Buffalo and take bad about all #Whites he will do #irreparabledamage to the #country.\xe2\x80\xa6 https://t.co/cyGjJavxJB',b'HadEnoughBS4',b''
2022-05-16 15:15:57+00:00,b'There is a BIG DIFFERENCE between being a #RACIST and being #RACIAL. Holding passionate conversations about  #RACE/\xe2\x80\xa6 https://t.co/ouBq0siRDi',b'SenorWaterHead',"b'#VACCINATED in Miami, FL.'"
2022-05-16 15:07:02+00:00,b'Congratulations on being awarded the Minority Fellowship Program @Asha_Jimenez\nThe @rfygsu lab and I are are excite\xe2\x80\xa6 https://t.co/NTCDU4NILr',b'CSmallsGlover',"b'Atlanta, GA'"
2022-05-16 14:25:42+00:00,"b'#Racial labeling increases racial divide, #Racism many programs designed to foster #Acceptance and #inclusion  are\xe2\x80\xa6 https://t.co/aRD6vrMpct'",b'noah2noah2020',"b'San Diego, CA'"
2022-05-16 14:16:00+00:00,b'CA | Stigmabase | #Inequality #Racial\n[2022.05.16] https://t.co/EyNS789ZiT\nExclusion is a useful concept because it\xe2\x80\xa6 https://t.co/8VAwxFuJ5E',b'StigmabaseO',b'Americas | United Kingdom'
2022-05-16 13:26:26+00:00,b'Wait! #TFG!  He didn\xe2\x80\x99t #maga &amp; blew it up like everything he touched!\nHe\xe2\x80\x99s so full of his #EGO that he allowed\xe2\x80\xa6 https://t.co/lOUrTGDBku',b'TRACKSTARTER',"b'Red Lion, PA. USA'"
2022-05-16 13:06:34+00:00,b'Why they only start the #racial #Gaslighting and talk about taking away #guns when white people do the\xe2\x80\xa6 https://t.co/NOL62uURFB',b'313rdXRP',b''
2022-05-16 12:56:41+00:00,"b'SHAMEFUL AMERICA! When there are white victims of violence, The president and congress are swift to enact new laws\xe2\x80\xa6 https://t.co/bvEAbjfUwi'",b'MrPeerless',b'U.S.A.'
2022-05-16 12:48:37+00:00,"b'First study on the #racial, psychological &amp; gender-based #violence experienced by US #mayors. Women of color mayors\xe2\x80\xa6 https://t.co/HUvWsT3OTA'",b'politicoyuntura',b''
2022-05-16 11:39:27+00:00,b'Is there any link between #Gun #proliferation &amp; #racial #inequality? Where is all the #hatred coming from?',b'ReddySalina',b'Earth'
2022-05-16 06:09:38+00:00,"b'The #GreatReplacement theory is #racist nonsense &amp; is an example of  #WhiteFear of ""others"". Nobody is doing anythi\xe2\x80\xa6 https://t.co/6cMi698QgT'",b'nomallorywrites',b'NYC-Philly'
2022-05-16 03:45:40+00:00,b'Buffalo shooter targeted Black neighborhood: Official says\nhttps://t.co/dC7FXyri6l\n\n#BuffaloShooter #Black\xe2\x80\xa6 https://t.co/fvTQaE0zHT',b'info24bd',b''
2022-05-16 03:40:50+00:00,b'@SayCheese76 @Furious_Black @larryelder You wish you had a life do-over! What a #racist thing to say because a blac\xe2\x80\xa6 https://t.co/4wNVN1RBmp',b'k9danka',b''
2022-05-16 03:10:45+00:00,b'Ten people were killed and three others injured after an 18-year-old boy named #PaytonGendron opened fire on a supe\xe2\x80\xa6 https://t.co/T5iobFUmum',b'seatodaynews',b'Indonesia'
2022-05-16 02:05:30+00:00,"b'Henry, who scored the winning goal to keep Everton at risk of relegation, took to social media after the game to ca\xe2\x80\xa6 https://t.co/QWFUXeNEAw'",b'theSundaily',b'Petaling Jaya'
2022-05-16 00:49:37+00:00,b'@JuddLegum @TuckerCarlson @ggreenwald Imo #TuckerTerrorist \n&amp;\n#GlennGreenwald\nare\nPLETHORA of #lies Purveyors \n\n\xe2\x80\x9c5.\xe2\x80\xa6 https://t.co/stNbgrkL2v',b'SoulFlyTry',b'FL'
